1868650, 137306463, 0.5847312/0.5847314, 0.0000005, 54953.769678, 0.028231, , sem variacao, ok
2162283, 351055073, 0.9063779/0.9063825, 0.0000009, 54954.341553, 0.049680, , sem variacao, ok
2450566, 137977804, 1.8445871/1.8445875, 0.0000025, 55001.553286, 0.099698, , ciclica, ok
2557430, 121022559, 1.2977364/1.2977375, 0.0000015, 54954.461036, 0.017907, , sem variacao, ok
2694741, 120891206, 0.3266474/0.3266466, 0.0000002, 54953.773721, 0.019405, , sem variacao, ok
2708156, 122375269, 1.8912721/1.8912545, 0.0000026, 54954.335595, 0.046299, , ciclica, ok
3221207, 121213501, 0.4738303/0.4738294, 0.0000003, 54953.960358, 0.028449, , ciclica, ok
3228863, 394179296, 0.7309440/0.7309437, 0.0000007, 54954.262345, 0.028985, , ciclica, ok
3431321, 121395039, 1.0150487/1.0150491, 0.0000011, 54954.417815, 0.065919, , sem variacao, ok
3443519, 137151074, 0.3536270/0.3536268, 0.0000002, 54953.826091, 0.019651, , sem variacao, ok
3448245, 137687487, 0.5134900/0.5134896, 0.0000004, 54953.953327, 0.027052, , ciclica, ok
3547874, 137550312, 19.6921722/19.6979822, 0.0000765, 54999.266982, -1, , sem variacao, ok
3558822, 138888894, 1.3534207/1.3534236, 0.0000016, 54953.844462, 0.069759, , sem variacao
3641446, 122303843, 2.1000143/2.1000025, 0.0000030, 55000.215748, 0.118014, , sem variacao, ok
3729724, 120628321, 16.4187555/16.3745961, 0.0000589, 54999.176469, -1, , sem variacao, ok
3735597, 121457732, 1.9663556/1.9663493, 0.0000028, 54954.425217, 0.077638, , sem variacao, ok
3749404, 137483608, 20.3063852/20.3109941, 0.0000795, 54981.166190, -1, , sem variacao, ok
3850086, 137152031, 19.1142466/19.1054158, 0.0000737, 55012.165119, -1, , sem variacao, ok
3936357, 120499528, 0.3691536/0.3691521, 0.0000002, 54953.852697, 0.020054, , ciclica, ok
3953981, 137152301, 0.4920172/0.4920175, 0.0000004, 54953.822532, 0.028483, , ciclica, ok
